headLine,tags,lastmod,loc
magazines_offer_new_years_resolutions_for_losing_weight_and_staying_healthy,['national'],2011-01-05 18:26:05+00:00,https://www.washingtonpost.com/national/magazines_offer_new_years_resolutions_for_losing_weight_and_staying_healthy/2011/01/05/ABt0GkD_story.html
milk_based_formula_may_lead_to_bigger_babies_than_a_protein_hydrolosate_formula_,['national'],2011-01-05 19:05:31+00:00,https://www.washingtonpost.com/national/milk_based_formula_may_lead_to_bigger_babies_than_a_protein_hydrolosate_formula_/2011/01/05/ABT1GkD_story.html
un_group_warns_of_potential_food_price_shock,['world'],2011-01-05 20:26:56+00:00,https://www.washingtonpost.com/world/un_group_warns_of_potential_food_price_shock/2011/01/05/ABPv4jD_story.html
ups_and_downs_of_apricot_brandy,"['lifestyle', 'food']",2011-01-06 15:43:58+00:00,https://www.washingtonpost.com/lifestyle/food/ups_and_downs_of_apricot_brandy/2011/01/06/ABSjHkD_story.html
letters_airline_passengers_run_risk_of_infections_from_fellow_travelers,['national'],2011-01-06 16:23:16+00:00,https://www.washingtonpost.com/national/letters_airline_passengers_run_risk_of_infections_from_fellow_travelers/2011/01/06/ABHWHkD_story.html
great_kids_village_in_columbia_offers_indoor_fun_for_tots,['entertainment'],2011-01-06 18:16:12+00:00,https://www.washingtonpost.com/entertainment/great_kids_village_in_columbia_offers_indoor_fun_for_tots/2011/01/06/ABZz6JJ_story.html
ancient_winemaking_operation_unearthed_in_armenian_cave,['national'],2011-01-06 18:38:54+00:00,https://www.washingtonpost.com/national/ancient_winemaking_operation_unearthed_in_armenian_cave/2011/01/06/ABhQHkD_story.html
health_care_law_adds_insurance__options_for_people_with_preexisting_conditions,['national'],2011-01-06 18:58:27+00:00,https://www.washingtonpost.com/national/health_care_law_adds_insurance__options_for_people_with_preexisting_conditions/2011/01/06/ABe0GkD_story.html
bourbon_steaks_david_varley_heading_west,"['lifestyle', 'food']",2011-01-06 21:02:24+00:00,https://www.washingtonpost.com/lifestyle/food/bourbon_steaks_david_varley_heading_west/2011/01/06/ABzO3IJ_story.html
study_finds_alarming_decline_in_bumblebees_desert_dust_may_melt_glaciers,['national'],2011-01-06 22:20:02+00:00,https://www.washingtonpost.com/national/study_finds_alarming_decline_in_bumblebees_desert_dust_may_melt_glaciers/2011/01/06/AB6THkD_story.html
vaccines_link_to_autism_is_discredited_again_with_finding_of_fraud_in_research,['national'],2011-01-06 23:31:29+00:00,https://www.washingtonpost.com/national/vaccines_link_to_autism_is_discredited_again_with_finding_of_fraud_in_research/2011/01/06/ABNmWIJ_story.html
drop_in_us_abortion_rate_stalls,['national'],2011-01-07 17:32:13+00:00,https://www.washingtonpost.com/national/drop_in_us_abortion_rate_stalls/2011/01/07/AB9PHkD_story.html
vang_pao_anti_communist_guerrilla_fighter_and_leader_of_hmong_refugees_dies_at_81,['obituaries'],2011-01-07 19:49:50+00:00,https://www.washingtonpost.com/obituaries/vang_pao_anti_communist_guerrilla_fighter_and_leader_of_hmong_refugees_dies_at_81/2011/01/07/AB7f7jD_story.html
jiri_dienstbier_helped_toppled_communist_rule_in_czechoslovakia_dies_at_73,"['local', 'obituaries']",2011-01-09 16:25:09+00:00,https://www.washingtonpost.com/local/obituaries/jiri_dienstbier_helped_toppled_communist_rule_in_czechoslovakia_dies_at_73/2011/01/09/ABX2MIJ_story.html
going_out_guide_suggestions_for_cheap_plays_at_dc_area_theaters,['entertainment'],2011-01-10 00:22:23+00:00,https://www.washingtonpost.com/entertainment/going_out_guide_suggestions_for_cheap_plays_at_dc_area_theaters/2011/01/09/AB0W3IJ_story.html
as_orthodontia_shifts_braces_arent_just_for_teenagers_anymore,['national'],2011-01-10 16:04:51+00:00,https://www.washingtonpost.com/national/as_orthodontia_shifts_braces_arent_just_for_teenagers_anymore/2011/01/10/ABbxLkD_story.html
movie_review_of_summer_wars,['entertainment'],2011-01-10 16:26:26+00:00,https://www.washingtonpost.com/entertainment/movie_review_of_summer_wars/2011/01/10/AB4iHKJ_story.html
netanyahu_rejects_clinton_criticism,['world'],2011-01-10 16:34:15+00:00,https://www.washingtonpost.com/world/netanyahu_rejects_clinton_criticism/2011/01/10/ABGgHkD_story.html
irans_intelligence_ministry_says_it_has_arrested_spies_linked_to_israel,['world'],2011-01-10 17:44:01+00:00,https://www.washingtonpost.com/world/irans_intelligence_ministry_says_it_has_arrested_spies_linked_to_israel/2011/01/10/ABkxGkD_story.html
