headline,category,date,source,sentiment,sentiment_score
Local Actions Lead The Global Efforts To Address Climate Change,impact,2017-06-27 00:00:00,HuffPost,POSITIVE,0.9985218644142152
"While President Trump Withdraws From The Paris Climate Agreement, Teenagers Like Myself are Fighting the Climate Crisis Head-On",impact,2017-06-04 00:00:00,HuffPost,POSITIVE,0.7307592630386353
Neil deGrasse Tyson Burns Donald Trump Over Possible Paris Climate Deal Withdrawal,science,2017-06-01 00:00:00,HuffPost,POSITIVE,0.8801972270011902
Electricity Is The Gift That Can Keep On Giving In Africa,impact,2017-04-08 00:00:00,HuffPost,POSITIVE,0.9996678829193116
Is Climate Action Dead In The Age Of Trump? Ikea's Green Boss Says No,impact,2017-03-02 00:00:00,HuffPost,NEGATIVE,0.9991349577903748
Weather Channel Destroys Breitbart Over BS Climate Change Story,science,2016-12-07 00:00:00,HuffPost,NEGATIVE,0.9996329545974731
6 Graphics To Show To Your Climate-Denying Uncle This Thanksgiving,science,2016-11-19 00:00:00,HuffPost,NEGATIVE,0.9965002536773682
Communication for Climate-Smart Farming,impact,2016-11-18 00:00:00,HuffPost,POSITIVE,0.9976999163627625
Pretty Much Every Living Thing Is Already Feeling The Effects Of Climate Change,science,2016-11-10 00:00:00,HuffPost,NEGATIVE,0.7927171587944031
Saving Energy Is As Simple As Making This Change When You Do Laundry,impact,2016-08-04 00:00:00,HuffPost,POSITIVE,0.99674654006958
"Sacramento Group Rescues 40,000 Tons Of Food Waste, Turns It Into Fuel",impact,2016-07-12 00:00:00,HuffPost,NEGATIVE,0.970280110836029
Teams Excavating Toilets Flush Out Thousands Of 18th Century Artifacts,science,2016-07-02 00:00:00,HuffPost,NEGATIVE,0.9558300375938416
Congress Gets Another Reminder From Scientists That Climate Change Isn't Coming -- It's Already Here,science,2016-06-28 00:00:00,HuffPost,NEGATIVE,0.9531939625740052
How Climate Change Is Fueling Violence Against Women,impact,2016-05-20 00:00:00,HuffPost,NEGATIVE,0.9583690166473388
Why Human Wellness Is Critical To Combating Climate Change,science,2016-04-05 00:00:00,HuffPost,NEGATIVE,0.9392864108085632
This Is What Climate Change Has Done To The Great Barrier Reef,science,2016-03-29 00:00:00,HuffPost,NEGATIVE,0.6000716686248779
"Climate Change Will Ruin Wine Eventually, So You May As Well Drink It All Now",science,2016-03-23 00:00:00,HuffPost,NEGATIVE,0.9996594190597534
Climate Change Is Contaminating Water Sources With Fecal Matter,impact,2016-03-21 00:00:00,HuffPost,NEGATIVE,0.974331557750702
Oklahoma Sets New Limits For Oil And Gas Drillers To Halt Earthquakes,science,2016-03-08 00:00:00,HuffPost,NEGATIVE,0.5138134956359863
Drought Costs Californians An Extra $2 Billion In Electricity Expenses,science,2016-02-20 00:00:00,HuffPost,NEGATIVE,0.9961313009262084
"A Giant Gas Cloud Is Coming Toward Us At 700,000 Miles Per Hour",science,2016-01-29 00:00:00,HuffPost,POSITIVE,0.7591798901557922
Four Graphics (And A Book) That Help Explain Climate Change,science,2016-01-27 00:00:00,HuffPost,POSITIVE,0.9942761063575744
Koko The Gorilla Probably Doesn't Understand Climate Change,science,2016-01-06 00:00:00,HuffPost,NEGATIVE,0.9995526671409608
"Republicans Just Don't Get Climate Science, And Here's Proof",science,2015-12-14 00:00:00,HuffPost,NEGATIVE,0.9984849095344543
Why Pulling All-Nighters For The U.N. Climate Agreement Is A Bad Idea,science,2015-12-11 00:00:00,HuffPost,NEGATIVE,0.999717891216278
"Climate Summit Gets Heat For Huge Carbon Footprint, But It's Not All Bad",science,2015-12-03 00:00:00,HuffPost,POSITIVE,0.9987770915031432
Scientists Warn Climate Change Will Trigger Rise In Terrifying Illness,science,2015-12-02 00:00:00,HuffPost,NEGATIVE,0.9961839318275452
How Scientists Know Climate Change Is Happening,science,2015-11-30 00:00:00,HuffPost,POSITIVE,0.997463583946228
What You Need To Know About The Paris Climate Summit,science,2015-11-29 00:00:00,HuffPost,POSITIVE,0.9955176711082458
Hawaii Makes Another Big Move Toward 100 Percent Renewable Energy,science,2015-11-04 00:00:00,HuffPost,POSITIVE,0.9984972476959229
This Gas Exoplanet Is Evaporating To Reveal A Rocky Core,science,2015-11-03 00:00:00,HuffPost,NEGATIVE,0.9923309087753296
Alabama Students Will Finally Be Required To Learn About Climate Change And Evolution,science,2015-09-14 00:00:00,HuffPost,POSITIVE,0.997108280658722
Study Predicts 200 Feet Of Sea Level Rise If All Fossil Fuels Are Burned,science,2015-09-13 00:00:00,HuffPost,NEGATIVE,0.9617978930473328
Here's How Rats End Up In Toilet Bowls,science,2015-08-18 00:00:00,HuffPost,NEGATIVE,0.9994624257087708
The Perilous Morality of Climate Change,impact,2015-08-09 00:00:00,HuffPost,NEGATIVE,0.9443835616111756
"Impact Investing Could Help Developing Countries Tackle Food Security, Climate Change",impact,2015-07-24 00:00:00,HuffPost,POSITIVE,0.9951093792915344
"Millions of Refugees Need Access to Cleaner, More Efficient Cookstoves and Fuels",impact,2015-06-24 00:00:00,HuffPost,NEGATIVE,0.993992030620575
Land for Toilets,impact,2015-06-01 00:00:00,HuffPost,NEGATIVE,0.968368113040924
Showers and Toilet on Wheels Give Homeless a Clean Slate,impact,2015-05-28 00:00:00,HuffPost,POSITIVE,0.931467056274414
A Man Soiled Himself in the Street -- and Came up with a Great Business Idea!,impact,2015-05-27 00:00:00,HuffPost,POSITIVE,0.9943962097167968
"White Roof, Low Energy",impact,2015-05-23 00:00:00,HuffPost,NEGATIVE,0.9985802173614502
Renewables Driving the Energy Transformation,impact,2015-05-14 00:00:00,HuffPost,POSITIVE,0.9995786547660828
How Couple's Passion for Good Food Fueled Mission to Fight Food Insecurity,impact,2015-05-12 00:00:00,HuffPost,POSITIVE,0.996864140033722
Insurance Policy for the Future: Investing in Millennials and Clean Energy,impact,2015-04-05 00:00:00,HuffPost,POSITIVE,0.9971925616264344
Jeremy Bloom: 'Fueled by Failure',impact,2015-03-03 00:00:00,HuffPost,NEGATIVE,0.9997767806053162
NASA Launches Soil Moisture Mapping Satellite,science,2015-02-02 00:00:00,HuffPost,POSITIVE,0.9815300107002258
The Little Question That Fueled Actor's Big Push For Plain-Spoken Science,science,2015-01-09 00:00:00,HuffPost,NEGATIVE,0.9829084873199464
most american teens are frightened by climate change poll finds and about 1 in 4 are taking action,science,2019-09-16 12:00:00,Washington Post,NEGATIVE,0.9829837083816528
uncovering how microbes in the soil influence our health and our food,science,2019-09-29 12:00:00,Washington Post,POSITIVE,0.9947028756141664
americans broadly accept climate science but many are fuzzy on the details,science,2019-12-09 13:00:00,Washington Post,POSITIVE,0.6572806239128113
madagascars lemurs face a grim future because of human activity a solution planting trees,science,2020-01-04 19:30:00,Washington Post,NEGATIVE,0.9836200475692748
how a mid 20th century hunting guide may fill the gaps on climate change in maine,science,2020-01-05 17:00:00,Washington Post,POSITIVE,0.9958833456039428
how fatbergs  refuse from our sinks toilets and trash  clog aging sewers,science,2020-02-01 14:00:00,Washington Post,NEGATIVE,0.9994925260543824
on climate change archaeological paper digs into the effects of colonization and maltreatment,science,2020-04-25 12:00:00,Washington Post,NEGATIVE,0.9632524251937866
nasa contest aims to build a better toilet for astronauts on 2024 moon mission,science,2020-07-18 11:00:00,Washington Post,NEGATIVE,0.9988064765930176
baleen whales may be changing their travels because of warming climate,science,2020-07-25 12:00:00,Washington Post,NEGATIVE,0.6924936771392822
baleen whales may be changing their travels because of warming climate,science,2020-07-25 12:00:00,Washington Post,NEGATIVE,0.6924936771392822
climate change mastodons,science,2020-09-06 12:00:00,Washington Post,NEGATIVE,0.9853943586349488
spanish flu 1918 climate,science,2020-10-03 12:00:00,Washington Post,NEGATIVE,0.9939894676208496
alaska permafrost greenhouse gas carbon,science,2020-11-07 13:00:00,Washington Post,NEGATIVE,0.8861374855041504
Blaze at Libya’s Largest Oil Port Extinguished,middle east,2015-01-03 04:47:00,WSJ,NEGATIVE,0.9979079961776732
Croatia’s Energy Rush Worries Tourist Sector,europe,2015-01-02 14:08:00,WSJ,NEGATIVE,0.8065496683120728
Paris Attacks Fuel Tensions in Germany,europe,2015-01-12 01:37:00,WSJ,NEGATIVE,0.9898277521133424
Cheap Oil Could Mean Shrinking Profits for BASF,europe,2015-01-13 18:32:00,WSJ,NEGATIVE,0.9995842576026917
Tullow Oil Takes $2.7 Billion Write-off,europe,2015-01-15 11:47:00,WSJ,NEGATIVE,0.9975221753120422
"Oil to Broadly Hit Growth, EBRD Says",europe,2015-01-19 12:54:00,WSJ,POSITIVE,0.9976563453674316
Academics Fuel Insurgent Party,europe,2015-01-23 20:32:00,WSJ,NEGATIVE,0.9629043340682985
Saudi Arabia Oil Minister Likely to Stay,middle east,2015-01-23 20:08:00,WSJ,POSITIVE,0.9085221886634828
Syriza Victory Roils Europe’s Political Landscape,europe,2015-01-26 01:33:00,WSJ,POSITIVE,0.998815655708313
Airbus CEO Sees Low Oil Prices Benefiting Company,europe,2015-01-29 19:19:00,WSJ,NEGATIVE,0.9864681959152222
BP Posts Loss Amid Oil Rout,europe,2015-02-03 21:30:00,WSJ,NEGATIVE,0.9995691180229188
Gunmen Storm Libyan Oil Field,middle east,2015-02-04 20:44:00,WSJ,NEGATIVE,0.970183789730072
Statoil Steps Up Cost-Cuts After Loss,europe,2015-02-06 13:24:00,WSJ,POSITIVE,0.9902127385139464
EU Seeks Meeting on New Ukraine-Russia Gas Dispute,europe,2015-02-25 13:20:00,WSJ,POSITIVE,0.7821299433708191
Brussels Seeks More Say in Energy Talks,europe,2015-02-25 07:21:00,WSJ,NEGATIVE,0.995409905910492
U.K. Business Investment Dragged Down by Oil Sector,europe,2015-02-26 18:26:00,WSJ,NEGATIVE,0.9997192025184632
Maersk Group Has No Plans to Dispose of Maersk Oil,europe,2015-02-26 16:06:00,WSJ,NEGATIVE,0.998124897480011
RWE to Proceed With North Sea Gas Deal,europe,2015-03-01 17:18:00,WSJ,NEGATIVE,0.9101929068565368
Libya Declares Force Majeure Over Oil Region,middle east,2015-03-04 22:05:00,WSJ,NEGATIVE,0.8260383009910583
Ukraine Wants EU to Help Pay to Store Gas,europe,2015-03-05 20:32:00,WSJ,NEGATIVE,0.9895434379577636
Attacks on Libya’s Oil Fields Shake Nation’s Stability,middle east,2015-03-08 18:43:00,WSJ,POSITIVE,0.8521983027458191
Oil-Price Drop Threatens Iraq Terror Fight,middle east,2015-03-11 00:29:00,WSJ,NEGATIVE,0.9893369674682616
Lufthansa Helped by Fuel Costs,europe,2015-03-12 12:34:00,WSJ,POSITIVE,0.9195601344108582
Iran Deal Could Open Oil Flood Gates,middle east,2015-03-17 02:24:00,WSJ,NEGATIVE,0.9348328709602356
Six Die From Alleged Chlorine-Gas Attack in Syria,middle east,2015-03-17 23:25:00,WSJ,NEGATIVE,0.9976673126220704
CMA CGM in Talks to Order Container Megaships,europe,2015-03-17 09:58:00,WSJ,NEGATIVE,0.9759841561317444
EU Leaders Move to Break Down Energy-Market Barriers,europe,2015-03-19 21:10:00,WSJ,POSITIVE,0.9741562008857728
Ukraine Wants to Double Gazprom’s Gas Transit Fees,europe,2015-03-19 17:55:00,WSJ,NEGATIVE,0.9921390414237976
Libya’s State Oil Company Declares Independence,middle east,2015-03-20 18:37:00,WSJ,POSITIVE,0.9818993806838988
Kuwait Seen Missing Oil-Production Target,middle east,2015-03-25 17:57:00,WSJ,NEGATIVE,0.9996633529663086
Russian Gold Miner Watches Oil Price,europe,2015-03-31 11:42:00,WSJ,POSITIVE,0.947714865207672
How Iranian Nuclear Deal Would Affect Oil Markets,middle east,2015-04-03 03:42:00,WSJ,NEGATIVE,0.9859033823013306
Iran Sanctions Aren’t Only Block for Western Oil Companies,middle east,2015-04-03 02:48:00,WSJ,NEGATIVE,0.9654869437217712
A Reckoning With Weak Oil Prices,europe,2015-04-05 22:00:00,WSJ,NEGATIVE,0.9996682405471802
"EU to Host Russia, Ukraine Gas Talks",europe,2015-04-07 11:25:00,WSJ,POSITIVE,0.8050616383552551
Timeline: Turmoil in Yemen,middle east,2015-04-10 22:10:00,WSJ,NEGATIVE,0.5462955236434937
"Europe Could Face Higher Energy Prices, Says Gazprom Chief",europe,2015-04-13 15:54:00,WSJ,NEGATIVE,0.9623622894287108
Western Executives Eye Iran’s Oil at Summit,europe,2015-04-17 13:07:00,WSJ,POSITIVE,0.9795100092887878
Rich Smuggling Trade Fuels Deadly Migration,europe,2015-04-21 00:32:00,WSJ,NEGATIVE,0.9646499752998352
EU Targets Russian Gas Giant,europe,2015-04-20 23:39:00,WSJ,NEGATIVE,0.9150372743606568
EU Approves Hungary’s Nuclear Fuel Supply from Russia,europe,2015-04-20 15:56:00,WSJ,POSITIVE,0.985855758190155
Gazprom CEO Offers Greece a Gas Pipeline but Little Else,europe,2015-04-21 17:34:00,WSJ,NEGATIVE,0.98945415019989
Total Profit Hit by Weaker Oil Prices,europe,2015-04-28 16:05:00,WSJ,NEGATIVE,0.995556652545929
EU Opens Energy-Generation Compensation Inquiry,europe,2015-04-29 15:14:00,WSJ,POSITIVE,0.9845153093338012
U.S. Banks Expect Rise in Energy-Sector Loan Defaults,central banks,2015-05-04 20:32:00,WSJ,NEGATIVE,0.9564958214759828
Russian Billionaire Mikhail Fridman Looks to Sell U.K. Gas Fields,europe,2015-05-08 19:04:00,WSJ,NEGATIVE,0.9366617798805236
"Nuclear, Fracking Decisions on Tap for New U.K. Energy Secretary",europe,2015-05-11 17:42:00,WSJ,NEGATIVE,0.9892852902412416
Iran Says Dispute With Tanker Was Over Collision With Gas Rig,middle east,2015-05-15 22:08:00,WSJ,NEGATIVE,0.9872318506240844
EU Wants U.S. to Lift Ban on Oil Exports,europe,2015-05-17 17:56:00,WSJ,NEGATIVE,0.9629172682762146
Iraq Defending Largest Oil Refinery,middle east,2015-06-08 18:17:00,WSJ,NEGATIVE,0.7056896686553955
Kurds Dispute Iraq’s Oil Payments,middle east,2015-06-09 22:48:00,WSJ,NEGATIVE,0.9933692812919616
Fire at Ukraine Oil Storage Depot Leaves One Worker Dead,europe,2015-06-09 15:13:00,WSJ,NEGATIVE,0.998464822769165
Iberian Wind Energy Generates Investor Interest,europe,2015-06-09 13:52:00,WSJ,POSITIVE,0.9975549578666688
Egyptian Police Foil Bomb Attack in Luxor,middle east,2015-06-10 16:57:00,WSJ,NEGATIVE,0.8739520907402039
"Statoil Cutting up to 1,500 Permanent Jobs",europe,2015-06-16 06:08:00,WSJ,NEGATIVE,0.9148350954055786
"National Oilwell Varco Norway to Cut 1,500 Jobs",europe,2015-06-17 09:50:00,WSJ,NEGATIVE,0.9197320342063904
Gazprom Signs Preliminary Deal to Expand Gas Pipeline to Germany,europe,2015-06-18 17:35:00,WSJ,POSITIVE,0.966652810573578
ENOC’s Offer for Dragon Oil Called Low,europe,2015-06-18 14:31:00,WSJ,NEGATIVE,0.999643087387085
Norway’s Shift From Oil Stirs Trouble in Fiords,europe,2015-06-19 20:20:00,WSJ,NEGATIVE,0.9937729239463806
EU Says Existing Gas Pipelines From Russia More Than Enough,europe,2015-06-19 10:35:00,WSJ,POSITIVE,0.9893749952316284
Dutch to Cut Groningen Gas Output,europe,2015-06-23 16:32:00,WSJ,NEGATIVE,0.9683019518852234
Armenia Suspends Electricity Rate Rise,europe,2015-06-27 21:33:00,WSJ,NEGATIVE,0.9984846711158752
EU Urges China to Adopt Climate-Change Goals,europe,2015-06-29 20:38:00,WSJ,POSITIVE,0.7276443839073181
Chinese Investment Giant Eyeing German Gas-station Firm,europe,2015-06-29 17:15:00,WSJ,NEGATIVE,0.8637406826019287
"Russia, Ukraine ‘Still Far Apart’ on Gas Deal",europe,2015-06-30 19:11:00,WSJ,NEGATIVE,0.945707619190216
"Iraq, Kurdistan Oil Deal Close to Collapse",middle east,2015-07-03 11:22:00,WSJ,NEGATIVE,0.9981250166893004
Iran Wants to Double Oil Exports After Sanctions End,middle east,2015-07-05 20:54:00,WSJ,NEGATIVE,0.9717146754264832
Greek Turmoil Sparks Geopolitical Concerns,europe,2015-07-09 11:10:00,WSJ,POSITIVE,0.9980290532112122
Big Oil Will Find Tough Competition in Iran,middle east,2015-07-21 22:46:00,WSJ,NEGATIVE,0.993100643157959
Total’s Earnings Again Hit By Low Oil Prices in 2Q: Earnings Preview,europe,2015-07-22 16:33:00,WSJ,NEGATIVE,0.9983110427856444
Turkey to Allow U.S. Strikes Against ISIS From Its Soil,middle east,2015-07-24 00:28:00,WSJ,NEGATIVE,0.983810544013977
Alstom to Lower Price of Energy Assets in Sale to GE,europe,2015-07-27 17:36:00,WSJ,NEGATIVE,0.9987953901290894
Total Shrugs Off Weaker Oil Prices,europe,2015-07-29 16:38:00,WSJ,POSITIVE,0.7413383722305298
"Centrica to Shrink Oil Business, Slash Jobs",europe,2015-07-30 10:19:00,WSJ,NEGATIVE,0.9972490668296814
IMF Suggests Saudi Arabia Rely Less on Oil Revenue,middle east,2015-08-17 18:45:00,WSJ,NEGATIVE,0.9975538849830629
Norway Oil Fund Excludes Firms on Environment Risks,europe,2015-08-17 12:38:00,WSJ,NEGATIVE,0.964394509792328
Crime Soars in Iraqi Oil Region,middle east,2015-08-23 23:28:00,WSJ,NEGATIVE,0.9473500847816468
Global Turmoil Roils Europe’s Recovery Plan,europe,2015-08-24 21:43:00,WSJ,POSITIVE,0.8123253583908081
Weak Prices Cloud Norway’s Oil Sector,europe,2015-08-25 09:31:00,WSJ,NEGATIVE,0.99928480386734
Bank Indonesia Sees Market Turmoil Carrying Through to March,central banks,2015-08-26 07:40:00,WSJ,NEGATIVE,0.9790911078453064
Sanctions Bite Massive Gas Project in Russian Arctic,europe,2015-08-27 09:30:00,WSJ,NEGATIVE,0.9772372841835022
Cheap Oil Boosts Carrier CMA CGM’s Profits,europe,2015-08-31 11:38:00,WSJ,NEGATIVE,0.9739691019058228
U.K. Approves Giant North Sea Gas Project,europe,2015-08-31 08:28:00,WSJ,POSITIVE,0.8450907468795776
Gas Discovery in Egypt Troubles Israel,middle east,2015-09-02 22:31:00,WSJ,NEGATIVE,0.9948912858963012
Russia Sees ‘Fair’ Oil Price at $50-$70 a Barrel,europe,2015-09-04 11:48:00,WSJ,NEGATIVE,0.9712943434715272
"BOE Unruffled by China, Markets Turmoil",central banks,2015-09-10 13:24:00,WSJ,NEGATIVE,0.9875158071517944
Iran Could Become Major Supplier of Natural Gas to EU,europe,2015-09-14 01:49:00,WSJ,POSITIVE,0.8526110053062439
Stalled Oil Field Project Adds to Iraq’s Woes,middle east,2015-09-15 23:35:00,WSJ,NEGATIVE,0.995215892791748
Islamic State Plans Fueled French Move to Prepare Airstrikes,europe,2015-09-15 21:13:00,WSJ,NEGATIVE,0.9260967969894408
"Non-Oil Commodity Price Pressures to Remain Flat, Says ECB",central banks,2015-09-17 09:50:00,WSJ,NEGATIVE,0.9985135197639464
New Libyan Oil Company Stalls,middle east,2015-09-18 16:25:00,WSJ,NEGATIVE,0.9996166229248048
Greek Result Signals Pause in Turmoil,europe,2015-09-21 00:06:00,WSJ,NEGATIVE,0.980022668838501
Seacrest to Invest $200 Million in Norway Energy Company,europe,2015-09-29 20:04:00,WSJ,POSITIVE,0.9502741694450378
Suicide Attack Plunges Turkey Deeper Into Turmoil,middle east,2015-10-11 22:54:00,WSJ,NEGATIVE,0.9901697039604188
Ineos Agrees to Buy DEA’s North Sea Gas Fields,europe,2015-10-11 12:23:00,WSJ,POSITIVE,0.9568882584571838
Kosovo Opposition Uses Tear Gas to Disrupt Parliament,europe,2015-10-15 11:52:00,WSJ,NEGATIVE,0.9906427264213562
Clashing Agendas Fuel Rise of Islamic State,middle east,2015-10-16 21:08:00,WSJ,NEGATIVE,0.9016581177711488
BP Signs Deals With Chinese Energy Companies,europe,2015-10-21 17:05:00,WSJ,POSITIVE,0.9622640609741212
Portugal Government Fuels Democracy Debate in Europe,europe,2015-10-25 20:15:00,WSJ,POSITIVE,0.9958183169364928
Maersk Oil to Cut Staff by up to 12%,europe,2015-10-26 10:27:00,WSJ,NEGATIVE,0.993614912033081
Statoil Delays Projects Amid Cost Overruns,europe,2015-10-28 15:01:00,WSJ,NEGATIVE,0.9978740215301514
Shell Says BG Tie-up Still Works With   Oil in mid-$60s,europe,2015-11-03 14:51:00,WSJ,NEGATIVE,0.9856377243995668
France to Restore Border Controls During Climate Talks,europe,2015-11-06 16:07:00,WSJ,POSITIVE,0.758163332939148
Statoil Follows Shell in Quitting Alaska,europe,2015-11-17 16:03:00,WSJ,NEGATIVE,0.9870806336402892
U.S. Blacklists Network Linked to Syria Oil Deals With ISIS,middle east,2015-11-25 19:47:00,WSJ,NEGATIVE,0.9947859644889832
"Russia-Ukraine Feud Grows, With Halted Flights, Energy",europe,2015-11-25 13:10:00,WSJ,NEGATIVE,0.993823766708374
France Outlines Security Plans for Paris Climate Summit,europe,2015-11-25 13:03:00,WSJ,POSITIVE,0.975685715675354
Israel to Send Diplomat to Energy Agency in U.A.E.,middle east,2015-11-27 19:24:00,WSJ,POSITIVE,0.9519052505493164
Norway Appoints Central Banker to Oversee Oil Fund,central banks,2015-11-27 12:01:00,WSJ,POSITIVE,0.9793946146965028
Kuwait Replaces Oil Minister,middle east,2015-11-29 16:34:00,WSJ,POSITIVE,0.6343352794647217
Islamic State Oil Assets Targeted,middle east,2015-11-30 14:33:00,WSJ,NEGATIVE,0.963156759738922
Egyptian Gas Providers Ordered to Pay Israel $1.76 Billion,middle east,2015-12-06 21:52:00,WSJ,NEGATIVE,0.9841067790985109
Bank of Japan Officials Fret Over Oil-Price Declines,central banks,2015-12-09 08:44:00,WSJ,NEGATIVE,0.9949784874916076
Bank of Russia May Have to Tighten Policy if Oil Prices Stay Below $40 a Barrel,central banks,2015-12-11 13:27:00,WSJ,NEGATIVE,0.9986566305160522
Terrorism Fears Fuel France’s National Front,europe,2015-12-13 08:38:00,WSJ,NEGATIVE,0.977702498435974
Kosovo Opposition Lawmakers Release Tear Gas in Parliament,europe,2015-12-15 15:47:00,WSJ,NEGATIVE,0.975487470626831
Egypt Dispute Threatens Israeli Gas Plan,middle east,2015-12-16 10:46:00,WSJ,NEGATIVE,0.99527907371521
Germany’s Merkel Defends Russian Gas Pipeline Plan,europe,2015-12-18 15:20:00,WSJ,NEGATIVE,0.906089186668396
Eni’s Goliat Arctic Oil Platform Faces Further Delay,europe,2015-12-22 17:50:00,WSJ,NEGATIVE,0.9991649389266968
Low Oil Prices to Squeeze New Saudi Budget,middle east,2015-12-24 00:01:00,WSJ,NEGATIVE,0.9975135326385498
French Gas Plant Attack Suspect Commits Suicide,europe,2015-12-23 09:22:00,WSJ,NEGATIVE,0.997826874256134
"Saudi Arabia Cuts Spending, Raises Domestic Fuel Prices",middle east,2015-12-29 02:33:00,WSJ,POSITIVE,0.5792701840400696
North Sea Oil Rig Worker Dies Amid Extreme Weather,europe,2015-12-31 12:56:00,WSJ,NEGATIVE,0.9995216131210328
Saudi-Iranian Rift Complicates Bid to Calm Oil Markets,middle east,2016-01-04 03:07:00,WSJ,NEGATIVE,0.996586799621582
Threat to Libya’s Oil Industry Grows,middle east,2016-01-06 17:56:00,WSJ,NEGATIVE,0.9925685524940492
Nuclear Deal Fuels Iran’s Hard-Liners,middle east,2016-01-08 23:10:00,WSJ,NEGATIVE,0.8502444624900818
Fires at Libyan Oil Terminals Extinguished,middle east,2016-01-10 03:30:00,WSJ,NEGATIVE,0.9551763534545898
Hilsenrath’s Take: Oil Price Drop Could Pressure Fed to Hold Off,central banks,2016-01-13 12:02:00,WSJ,NEGATIVE,0.9948595762252808
