headline,category,date,source
Climate Change Is Threatening Our Jobs — And Most Companies Are Doing Nothing,IMPACT,2019-11-25 00:00:00,HuffPost
Italy Is Making Climate Change Lessons Compulsory In Schools,IMPACT,2019-11-06 00:00:00,HuffPost
Saudi Arabia Formally Starts Long-Anticipated IPO Of State-Run Oil Giant Saudi Aramco,WORLD NEWS,2019-11-03 00:00:00,HuffPost
How Fossil Fuel Companies Are Killing Plastic Recycling,IMPACT,2019-09-30 00:00:00,HuffPost
"From Sydney To San Francisco, Millions Are Striking For Global Climate Action",POLITICS,2019-09-20 00:00:00,HuffPost
Trump: U.S. 'Locked And Loaded' For Response To Attack On Saudi Oil Sites,WORLD NEWS,2019-09-16 00:00:00,HuffPost
Trump Approves Oil Release From Reserve After Attack On Saudi Sites,WORLD NEWS,2019-09-15 00:00:00,HuffPost
Drone Attacks Spark Huge Fires At Saudi Arabia Oil Facilities,WORLD NEWS,2019-09-14 00:00:00,HuffPost
"No-Deal Brexit Could Lead To Shortages Of Medicine, Food And Fuel, Government Report Says",WORLD NEWS,2019-09-12 00:00:00,HuffPost
"Police Fire Tear Gas, Rubber Bullets At Hong Kong Protesters",WORLD NEWS,2019-07-29 00:00:00,HuffPost
"Iran Seizes Foreign Oil Tanker With Crew Of 12, State TV Says",WORLD NEWS,2019-07-18 00:00:00,HuffPost
UN Chief Warns World Is ‘Not On Track’ To Meet Paris Climate Change Target,WORLD NEWS,2019-05-12 00:00:00,HuffPost
Joe Biden's Rivals In Democratic Race Reject His ‘Middle Ground’ On Climate Policy,POLITICS,2019-05-12 00:00:00,HuffPost
Oil Execs Chortle Over  'Unprecedented' Access To Trump Officials In Secret Recording,POLITICS,2019-03-24 00:00:00,HuffPost
EPA Administrator Dismisses Climate Change As '50 To 75 Years Out',POLITICS,2019-03-20 00:00:00,HuffPost
"From Climate Change To Gun Control, 8 Women Making The World A Better Place",IMPACT,2019-03-08 00:00:00,HuffPost
"Bernie Sanders Stakes Out Forceful Climate Stance, Leapfrogging The 2020 Field",POLITICS,2018-12-04 00:00:00,HuffPost
GOP Shrugs Off Bombshell Climate Report,POLITICS,2018-11-25 00:00:00,HuffPost
CNN Meteorologist Schools Trump On The Meaning Of The Word 'Climate',SCIENCE,2018-11-23 00:00:00,HuffPost
Wins By Democratic Attorneys General Threaten To Multiply Climate Suits Against Big Oil,POLITICS,2018-11-10 00:00:00,HuffPost
Elizabeth Warren Bill Would Mandate Companies Disclose Climate Risks,POLITICS,2018-09-14 00:00:00,HuffPost
"200 Actors, Scientists Band Together To Demand Climate Change Action",WORLD NEWS,2018-09-04 00:00:00,HuffPost
Samoan Prime Minister: Leaders Who Deny Climate Change Are 'Utterly Stupid',WORLD NEWS,2018-09-02 00:00:00,HuffPost
Japan Executes Last 6 Members Of Doomsday Cult Behind Subway Gas Attack,WORLD NEWS,2018-07-26 00:00:00,HuffPost
North Korea Boosting Nuclear Fuel Production At Secret Sites: Report,WORLD NEWS,2018-06-30 00:00:00,HuffPost
How A Populist Europe In Thrall To Russia Threatens Climate Change Action,IMPACT,2018-06-26 00:00:00,HuffPost
White House Officials Reportedly Considered Just 'Ignoring' New Climate Research,POLITICS,2018-05-24 00:00:00,HuffPost
Vietnam Is A Test For What Happens When The U.S. Abandons Climate Diplomacy,POLITICS,2018-05-22 00:00:00,HuffPost
Trump's NASA Chief Has Apparently Changed His Tune On Climate Change,POLITICS,2018-05-18 00:00:00,HuffPost
The Battle To Save Our Dying Soil,IMPACT,2018-05-17 00:00:00,HuffPost
Palestinian Family Says 8-Month-Old Died From Israeli Tear Gas In Gaza Protest Crackdown (GRAPHIC),WORLD NEWS,2018-05-15 00:00:00,HuffPost
Trump Administration Axes Funding For NASA System That Monitors Greenhouse Gases,POLITICS,2018-05-11 00:00:00,HuffPost
EPA Hid Scott Pruitt's Dinner With Climate Denier Accused Of Child Sex Abuse,POLITICS,2018-05-11 00:00:00,HuffPost
FEMA's Latest Excuse For Why It's Ignoring Climate Change: It Forgot,POLITICS,2018-05-03 00:00:00,HuffPost
A Trump Plan To Nationalize Coal Plants Could Be A Surprise Gift To Climate Hawks,POLITICS,2018-05-03 00:00:00,HuffPost
U.S. Climate Scientists Flee For France To ‘Make Our Planet Great Again’,SCIENCE,2018-05-03 00:00:00,HuffPost
Protests Across Armenia Fuel Calls For Ruling Elite To Step Down,WORLD NEWS,2018-05-02 00:00:00,HuffPost
The Dangerous Belief That Extreme Technology Will Fix Climate Change,IMPACT,2018-04-27 00:00:00,HuffPost
Scott Pruitt Faces New Accusations Of Ethical Lapses Over EPA’s Climate Rule Repeal,POLITICS,2018-04-26 00:00:00,HuffPost
Emmanuel Macron Takes Aim At Trump On Climate Change In Congressional Address,POLITICS,2018-04-25 00:00:00,HuffPost
U.S. Agencies Fueled A National Increase In Anti-Muslim Incidents: Report,POLITICS,2018-04-24 00:00:00,HuffPost
Andrew Cuomo Faces A Big Test On Climate Change. He’s Already Failed Twice.,POLITICS,2018-04-23 00:00:00,HuffPost
Michael Bloomberg Contributes $4.5 Million For Paris Climate Deal After Trump Bails,POLITICS,2018-04-23 00:00:00,HuffPost
Senate Confirms Climate Change Denier To Lead NASA,POLITICS,2018-04-19 00:00:00,HuffPost
How The Energy Industry's Wish List Became The Interior Department's To-Do List,POLITICS,2018-04-17 00:00:00,HuffPost
The SEC Just Made The Case For Divesting From Fossil Fuel Companies Much Stronger,BUSINESS,2018-04-17 00:00:00,HuffPost
Read Live Updates On Mark Zuckerberg's Hearing With The House Energy And Commerce Committee,POLITICS,2018-04-11 00:00:00,HuffPost
Scott Pruitt Is Embroiled In More Than A Dozen Scandals. Most Of America Has Barely Noticed.,POLITICS,2018-04-10 00:00:00,HuffPost
2013 Syrian Gas Attack Survivor: Whole World 'Should Be Ashamed',WORLD NEWS,2018-04-09 00:00:00,HuffPost
Democrats Did Little To Stop A Climate-Denying Coal Lobbyist From Getting EPA’s No. 2 Spot,POLITICS,2018-04-09 00:00:00,HuffPost
German Police Foil Berlin Half-Marathon Knife Attacks: Report,WORLD NEWS,2018-04-08 00:00:00,HuffPost
2 Senate Democrats Vow To Confirm Climate-Denying Coal Lobbyist As EPA No. 2,POLITICS,2018-04-07 00:00:00,HuffPost
EPA To Gut The Only Major Federal Rule To Cut Climate Pollution From Vehicles,POLITICS,2018-04-02 00:00:00,HuffPost
"6 Months After The Vegas Shooting, We Still Don’t Know What Motivated The Killer",POLITICS,2018-03-31 00:00:00,HuffPost
Report: EPA's Scott Pruitt Lived In Condo Linked to Energy Lobbyist,POLITICS,2018-03-30 00:00:00,HuffPost
Rep. Keith Ellison Demands FEMA Explain Why It Cut Climate Change From Strategic Plan,POLITICS,2018-03-29 00:00:00,HuffPost
Trapped Inside The Monster Energy Frat House,BUSINESS,2018-03-29 00:00:00,HuffPost
"Independents Are Shifting To Climate Denial, According To The Latest Gallup Poll",POLITICS,2018-03-28 00:00:00,HuffPost
Top Banks Pumped Billions More Into The Dirtiest Fossil Fuels Last Year,IMPACT,2018-03-28 00:00:00,HuffPost
Leaked Memo: EPA Shows Workers How To Downplay Climate Change,POLITICS,2018-03-28 00:00:00,HuffPost
Attorney Who Declined A Job On Trump's Legal Team Rips 'Turmoil' In White House,POLITICS,2018-03-27 00:00:00,HuffPost
Trump Appears To Brag About Using Data Mining Firm Roiled In Scandal,POLITICS,2018-03-22 00:00:00,HuffPost
Pentagon To Senate: We Can't Know If U.S. Fuel Helps Saudi Arabia Kill Civilians In Yemen,POLITICS,2018-03-19 00:00:00,HuffPost
U.S. Blames Russia For Cyberattacks On Electricity Grid,POLITICS,2018-03-16 00:00:00,HuffPost
FEMA Decides To Stop Taking Climate Change Into Account As It Plans For Future,POLITICS,2018-03-16 00:00:00,HuffPost
Oklahoma To Become First U.S. State To Execute Death Row Inmates With Nitrogen Gas,POLITICS,2018-03-15 00:00:00,HuffPost
Kenya Gambles On Dirty Energy With Its First Coal Plant,IMPACT,2018-03-15 00:00:00,HuffPost
An Underdog In Michigan’s Governor Race Shows Dems How To Run On Climate Change,POLITICS,2018-03-15 00:00:00,HuffPost
Libertarian Candidate Embraces His Role As Spoiler In Pennsylvania Election,POLITICS,2018-03-14 00:00:00,HuffPost
Trump’s Pick To Replace Former Exxon CEO As Secretary Of State Is A Bigger Climate Denier,POLITICS,2018-03-13 00:00:00,HuffPost
Interior Officials Are Citing Coal Execs And Crank Bloggers To Defend Climate Stances,POLITICS,2018-03-09 00:00:00,HuffPost
DOJ Report To Knock Trump's Favorite FBI Foil Over Leak That Helped Trump's Own Campaign,POLITICS,2018-03-04 00:00:00,HuffPost
Syrians Fight For Survival Amid Assad's Poison Gas Warfare,WORLD NEWS,2018-03-02 00:00:00,HuffPost
#MeToo Movement Fuels A 1970s Comeback: The ERA,POLITICS,2018-03-01 00:00:00,HuffPost
DCCC Advised Candidates Not To Discuss Gun Control Policy Right After Vegas Shooting,POLITICS,2018-02-27 00:00:00,HuffPost
"Despite Attacking Renewables, Trump Team Says It Loves All Energy Sources",POLITICS,2018-02-23 00:00:00,HuffPost
Here Are The Autopsies For The Victims Of The Las Vegas Mass Shooting,POLITICS,2018-02-15 00:00:00,HuffPost
"Why This California City Is Taking On Chevron, Exxon And Shell Over Climate Change",IMPACT,2018-02-10 00:00:00,HuffPost
"Wall Street Turmoil Worsens As Dow Jones Plunges 1,000 Points",BUSINESS,2018-02-08 00:00:00,HuffPost
Idaho Lawmakers Are Trying Again To Scrub Climate Change From Education Standards,POLITICS,2018-02-07 00:00:00,HuffPost
Trump's Climate-Denying Coal Lobbyist Nominee Inches Closer To EPA’s No. 2 Job,POLITICS,2018-02-06 00:00:00,HuffPost
"Democrats Lack A Bold National Climate Change Plan In The Trump Era, And It Shows",POLITICS,2018-02-03 00:00:00,HuffPost
Feds Arrest Arizona Man For Selling Armor-Piercing Ammo To Las Vegas Shooter,POLITICS,2018-02-03 00:00:00,HuffPost
Already Threatened Polar Bears Face Food Shortage Crisis Amid Climate Change,SCIENCE,2018-02-02 00:00:00,HuffPost
First State Ban On Bump Stocks Takes Effect After Las Vegas Massacre,POLITICS,2018-02-01 00:00:00,HuffPost
Democrats Ignore Climate Change In State Of The Union Rebuttal,POLITICS,2018-01-31 00:00:00,HuffPost
Monster Energy Vice President Accused Of Sexual Harassment Resigns,BUSINESS,2018-01-31 00:00:00,HuffPost
"Trump Touts 'Beautiful, Clean Coal' And Fails To Link Disasters To Climate Change",POLITICS,2018-01-31 00:00:00,HuffPost
"FBI Deputy Director Andrew McCabe, A Frequent Trump Foil, Is Leaving The Bureau",POLITICS,2018-01-29 00:00:00,HuffPost
EPA Chief Under Nixon And Reagan: GOP’s Climate Denial Is 'Killing Everything',POLITICS,2018-01-27 00:00:00,HuffPost
Washington State Changes Driver's License Requirements To Foil ICE,POLITICS,2018-01-27 00:00:00,HuffPost
"The Mercers, Trump’s Billionaire Megadonors, Ramp Up Climate Change Denial Funding",POLITICS,2018-01-26 00:00:00,HuffPost
Trump Names Former Astronaut And Oil Geologist To Lead Key Scientific Agency,POLITICS,2018-01-26 00:00:00,HuffPost
White House Open To Gas Tax Hike To Pay For Infrastructure Upgrades,POLITICS,2018-01-26 00:00:00,HuffPost
"Trump Asks For Van Gogh, Museum Offers Solid Gold Toilet Instead",POLITICS,2018-01-26 00:00:00,HuffPost
Jerry Brown Extols California's Bipartisan Commitment To Fighting Climate Change,POLITICS,2018-01-25 00:00:00,HuffPost
Climate Change: Everyone's Battle,WORLD NEWS,2018-01-23 00:00:00,HuffPost
Rescuers In Rebel-Held Syrian Area Accuse Government Of Gas Attack,WORLD NEWS,2018-01-22 00:00:00,HuffPost
"Nevertheless, She Persisted: A Year After The First Women's March, Energy Is Still High",POLITICS,2018-01-21 00:00:00,HuffPost
"Florida Waters Could Still Be Leased For Oil Drilling, Despite Ryan Zinke’s Tweet",POLITICS,2018-01-19 00:00:00,HuffPost
Pentagon Drops Climate From National Defense Strategy In Retreat From Bush-Era Policy,POLITICS,2018-01-19 00:00:00,HuffPost
GOP Lawmaker Claims ISIS Masterminded Las Vegas Shooting,POLITICS,2018-01-19 00:00:00,HuffPost
The Clean Energy Transition Will Transform Our Economy Beyond Recognition,IMPACT,2018-01-18 00:00:00,HuffPost
"Climate Denial Group Protected Former Executive Charged With Stalking Colleague, Ex-Staffers Say",POLITICS,2018-01-17 00:00:00,HuffPost
Stricken Tanker Leaks 8-Mile Long Oil Slick In East China Sea,WORLD NEWS,2018-01-15 00:00:00,HuffPost
An 'African Gang Crisis' In Melbourne Is Roiling Australian Politics,WORLD NEWS,2018-01-15 00:00:00,HuffPost
Norway's Arctic Oil Lawsuit Offers Hope For A New Era Of Climate Litigation,IMPACT,2018-01-13 00:00:00,HuffPost
"NYC Sues Big Oil Over Climate Impacts, Plans To Divest $5 Billion From Fossil Fuels",POLITICS,2018-01-10 00:00:00,HuffPost
Florida Gov. Rick Scott Has Repeatedly Flip-Flopped On Offshore Oil Drilling,POLITICS,2018-01-10 00:00:00,HuffPost
2017 Shatters Records With $306 Billion In Damages From Climate-Linked Disasters,POLITICS,2018-01-08 00:00:00,HuffPost
Higher Fuel Prices And Cold Weather Will Squeeze Heating Assistance,POLITICS,2018-01-04 00:00:00,HuffPost
Oil Industry Seals Two Arctic Drilling Wins As Fierce East Coast Storm Fuels Climate Fears,POLITICS,2018-01-04 00:00:00,HuffPost
Trump's 'Fear Of Being Poisoned' Reportedly Fuels His McDonald's Habit,POLITICS,2018-01-03 00:00:00,HuffPost
Second Ship Suspected Of Providing Oil To North Korea Seized,WORLD NEWS,2017-12-31 00:00:00,HuffPost
Trump Just Used Normal Winter Weather To Undermine The Science Behind Climate Change,POLITICS,2017-12-29 00:00:00,HuffPost
South Korea Seizes Ship Suspected Of Transferring Oil To North Korea,WORLD NEWS,2017-12-29 00:00:00,HuffPost
Report: Russian Tankers Fueled North Korea,WORLD NEWS,2017-12-29 00:00:00,HuffPost
Trump Accuses China Of Allowing Oil Into North Korea,POLITICS,2017-12-28 00:00:00,HuffPost
Obama Policies Fueled Our Economic Boom. Don't Let Trump And His Rich Man's Tax Cut Steal The Credit,POLITICS,2017-12-25 00:00:00,HuffPost
Energy Companies Celebrate White House Slashing Protections For Migratory Birds,POLITICS,2017-12-23 00:00:00,HuffPost
France To Ban Domestic Production Of Oil And Gas By 2040,WORLD NEWS,2017-12-20 00:00:00,HuffPost
Trump Decides Climate Change Is No Longer A National Security Threat,POLITICS,2017-12-18 00:00:00,HuffPost
Trump To Nix Climate Change As National Security Threat,POLITICS,2017-12-18 00:00:00,HuffPost
"Climate Change Made Hurricane Harvey Worse, Scientists Say",SCIENCE,2017-12-13 00:00:00,HuffPost
Doug Jones' Win Breaks Alabama's Long Record Of Electing Climate Change Deniers,POLITICS,2017-12-13 00:00:00,HuffPost
50 World Leaders Gather In Paris For Climate Summit. Trump Was Not Invited.,WORLD NEWS,2017-12-12 00:00:00,HuffPost
"2 Years After Paris, We Have Work To Do In The Fight Against Climate Change",POLITICS,2017-12-12 00:00:00,HuffPost
Scott Pruitt's War On Wind Energy Will Only Hurt Oklahomans,POLITICS,2017-12-12 00:00:00,HuffPost
"GOP Tax Bill ‘Designed’ To Kneecap Renewable Energy In Favor Of Fossil Fuels, Democrats Say",POLITICS,2017-12-12 00:00:00,HuffPost
California Governor Says Trump Is Courting The 'Wrath Of God' By Ignoring Climate Change,POLITICS,2017-12-09 00:00:00,HuffPost
British Authorities Reportedly Foil Terror Plot To Assassinate Prime Minister Theresa May,WORLD NEWS,2017-12-06 00:00:00,HuffPost
Wednesday's Morning Email: Trump's Latest Move Risks Fueling Unrest In Mideast,POLITICS,2017-12-06 00:00:00,HuffPost
"After Vegas And Texas Massacres, Republicans Try To Make It Easier To Carry Concealed Guns",POLITICS,2017-12-06 00:00:00,HuffPost
Leaked PowerPoint Reveals The Gas Industry’s Playbook For Waging Pipeline Fights,POLITICS,2017-12-05 00:00:00,HuffPost
Oil And Gas Firms Got A Last-Minute Goody In Senate Tax Bill,POLITICS,2017-12-05 00:00:00,HuffPost
Amazon HQ2 In The Time Of Climate Change,BUSINESS,2017-12-04 00:00:00,HuffPost
"Trump’s NOAA Pick Gets Climate Change, But Could Still Weaken Key Science Agency",POLITICS,2017-11-29 00:00:00,HuffPost
"The U.S. Under-Invests In Energy Innovation, Asserts Former Energy Secretary Ernest Moniz",POLITICS,2017-11-28 00:00:00,HuffPost
"Corporations Make Big Climate Promises Only To Retreat After A Few Years, Study Finds",POLITICS,2017-11-27 00:00:00,HuffPost
A Star Psychiatrist Swerves From Nuclear Armageddon To Climate Change,POLITICS,2017-11-26 00:00:00,HuffPost
Mother Of Vegas Survivor Pleads With Lawmaker To Change Gun Laws,POLITICS,2017-11-26 00:00:00,HuffPost
'These Storms Are Just Crazy': Craft Beer Brewers Feel Effects Of Climate Change,IMPACT,2017-11-21 00:00:00,HuffPost
Pope Francis Blasts 'Perverse Attitudes' Of Climate Change Deniers,WORLD NEWS,2017-11-17 00:00:00,HuffPost
14 More Lawsuits Filed In Aftermath Of Las Vegas Shooting,POLITICS,2017-11-16 00:00:00,HuffPost
How The Shipping Industry Bullied Its Way Out Of Doing Anything To Fight Climate Change,POLITICS,2017-11-15 00:00:00,HuffPost
Why Make Issue Films In A Politically Rigid Climate?,POLITICS,2017-11-15 00:00:00,HuffPost
Fossil Fuel-Touting U.S. Heckled By Singing Demonstrators At UN Climate Summit,WORLD NEWS,2017-11-14 00:00:00,HuffPost
Lisa Murkowski Introduces Bill To Open Arctic Wildlife Refuge To Oil Drilling,POLITICS,2017-11-09 00:00:00,HuffPost
"Syria Vows To Sign Paris Agreement, Leaving U.S. Alone In Climate Denial",POLITICS,2017-11-07 00:00:00,HuffPost
The World's Largest Climate Change Summit Starts Today. Here's What's Happening.,WORLD NEWS,2017-11-06 00:00:00,HuffPost
Trump’s Exit From Anti-Corruption Pact Helps Big Oil Hide How Much It Pays In US Taxes,POLITICS,2017-11-04 00:00:00,HuffPost
Texas Democrats Celebrate Lamar Smith's Retirement: 'It's Great News For The Climate',POLITICS,2017-11-03 00:00:00,HuffPost
Rick Perry Says Fossil Fuels Will Prevent Sexual Assaults In Africa,POLITICS,2017-11-02 00:00:00,HuffPost
Bump Stock Maker Resumes Sales One Month After Las Vegas Mass Shooting,POLITICS,2017-11-01 00:00:00,HuffPost
It’s Been One Month Since The Las Vegas Shooting And Bump Stocks Are Still Legal,POLITICS,2017-10-29 00:00:00,HuffPost
Puerto Rico Electric Power Authority Cancels Whitefish Energy Deal,POLITICS,2017-10-29 00:00:00,HuffPost
Conservative Think Tank Included Convicted Sex Offender In Climate Expert List For EPA,POLITICS,2017-10-27 00:00:00,HuffPost
Energy Company Tied To Major Trump Donor Feuds With San Juan Mayor Over Business Deal,POLITICS,2017-10-25 00:00:00,HuffPost
Here's A List Of Climate-Change Deniers The EPA May Be Considering For Its ‘Red Team’ Debate,POLITICS,2017-10-25 00:00:00,HuffPost
"Memo To EPA Chief Pruitt: Let's End Subsidies For Fossil Fuels, Not Renewables",POLITICS,2017-10-24 00:00:00,HuffPost
"Trump Should Tackle Climate If He Wants To Save Billions, Congressional Report Says",POLITICS,2017-10-24 00:00:00,HuffPost
U.S. Is Officially The Only Country Besides Syria Not To Support Paris Climate Deal,WORLD NEWS,2017-10-24 00:00:00,HuffPost
"Big Business Is Moving Too Slowly On Climate Change, Tracking Group Finds",IMPACT,2017-10-23 00:00:00,HuffPost
Man Who Turned His Guns In After Las Vegas Should Be A National Story,POLITICS,2017-10-23 00:00:00,HuffPost
EPA Abruptly Blocks 3 Agency Scientists From Giving Talks On Climate Change,POLITICS,2017-10-23 00:00:00,HuffPost
Roy Moore Is An Outspoken Fundamentalist About Everything But Climate Change,POLITICS,2017-10-23 00:00:00,HuffPost
These 5 U.S. Towns Are Powered Entirely By Renewable Energy,IMPACT,2017-10-21 00:00:00,HuffPost
Senate Republicans Block Measure To Protect Arctic Wildlife Refuge From Oil Drilling,POLITICS,2017-10-20 00:00:00,HuffPost
Progressives' Anger Over Key Committee Appointments Roils Democratic Party Meeting,POLITICS,2017-10-20 00:00:00,HuffPost
Chinese President Xi Jinping's Climate Change Remarks Sure Seem To Be Aimed At Trump,WORLD NEWS,2017-10-18 00:00:00,HuffPost
Chicago Is Fighting Climate Change No Matter What Trump Says,IMPACT,2017-10-12 00:00:00,HuffPost
Climate Change And The Migration Crisis,WORLD NEWS,2017-10-11 00:00:00,HuffPost
France’s Biggest Bank Becomes The First To Cut Off Funding For Natural Gas Fracking,POLITICS,2017-10-11 00:00:00,HuffPost
Bipartisan Bill Introduced To Ban Bump Stocks After Las Vegas Shooting,POLITICS,2017-10-10 00:00:00,HuffPost
"At Ground Zero For Climate Change, People Think Donald Trump’s Denial Is Insane",POLITICS,2017-10-10 00:00:00,HuffPost
Trump Axes Climate Plan As The World Burns,POLITICS,2017-10-10 00:00:00,HuffPost
The Jobs From The North Dakota “Oil Miracle” Have Disappeared,BUSINESS,2017-10-10 00:00:00,HuffPost
"Mourning The Sad Trump Truth, And How Vegas Snapped Me Out Of It",POLITICS,2017-10-08 00:00:00,HuffPost
Pittsburgh’s Mayor Calls For ‘An American Marshall Plan’ For Clean Energy,POLITICS,2017-10-07 00:00:00,HuffPost
The Auto Industry Needs To Keep Its Word On Fuel Economy Standards,POLITICS,2017-10-06 00:00:00,HuffPost
Could The Bloodbath In Las Vegas Finally Kill Off The NRA's Lies?,POLITICS,2017-10-05 00:00:00,HuffPost
The Night Vegas Cried,POLITICS,2017-10-05 00:00:00,HuffPost
Whistleblower Speaks Out: Morale At Interior Department Is 'In The Toilet',POLITICS,2017-10-05 00:00:00,HuffPost
The Republicans' Non-Response To The Las Vegas Shooting,POLITICS,2017-10-05 00:00:00,HuffPost
Trump Administration To Propose Scrapping Major Obama-Era Climate Change Policy,POLITICS,2017-10-05 00:00:00,HuffPost
Momentum Grows In Congress For 'Bump Stock' Ban After Las Vegas Shooting,POLITICS,2017-10-04 00:00:00,HuffPost
Las Vegas Investigation Focuses On Paddock’s Finances And Travel: Sources,POLITICS,2017-10-04 00:00:00,HuffPost
Las Vegas Casino Workers Recognize Stephen Paddock: 'I Wish I Had Never Seen His Face',POLITICS,2017-10-04 00:00:00,HuffPost
Did You Donate To The NRA In The Wake Of The Las Vegas Attack?,POLITICS,2017-10-04 00:00:00,HuffPost
Steve Scalise On Las Vegas Shooting: It Has 'Fortified' My Support For Gun Rights,POLITICS,2017-10-04 00:00:00,HuffPost
Las Vegas Shooter Opens And Deepens Old Wounds,POLITICS,2017-10-04 00:00:00,HuffPost
The U.S. Is Breaking Clean Energy Records Even As Trump Doubles Down On Fossil Fuels,IMPACT,2017-10-04 00:00:00,HuffPost
An Open Letter To Bill O'Reilly About His Dystopian Take On The Las Vegas Shooting,POLITICS,2017-10-03 00:00:00,HuffPost
Longtime Gun Owner Ashton Kutcher Says 'Enough Is Enough' After Vegas Massacre,POLITICS,2017-10-03 00:00:00,HuffPost
Iconic Landmarks Go Dark In Honor Of Las Vegas Massacre Victims,WORLD NEWS,2017-10-03 00:00:00,HuffPost
Fuel Deliveries Finally Start To Arrive In Hurricane-Damaged Puerto Rico,WORLD NEWS,2017-10-03 00:00:00,HuffPost
Russian Hacking Fuels Return To Paper Ballots,POLITICS,2017-10-03 00:00:00,HuffPost
"Let Not The Americans Of Las Vegas Die In Vain, Too",POLITICS,2017-10-03 00:00:00,HuffPost
Tuesday's Morning Email: How The Las Vegas Mass Shooting Unfolded,POLITICS,2017-10-03 00:00:00,HuffPost
Hillary Clinton On Las Vegas Shooting: 'We Must Stand Up To The NRA',POLITICS,2017-10-02 00:00:00,HuffPost
Sandy Hook Mother Tears Into Congress After Las Vegas Massacre,POLITICS,2017-10-02 00:00:00,HuffPost
The Oil Industry Needs Taxpayers To Prop Up Nearly Half Of Its New U.S. Drilling,POLITICS,2017-10-02 00:00:00,HuffPost
"Monday's Morning Email: At Least 50 Dead, 200 Injured In Las Vegas Mass Shooting",POLITICS,2017-10-02 00:00:00,HuffPost
"The Message From Las Vegas (And Boston, Orlando And San Bernardino) Is Loud And Clear",POLITICS,2017-10-02 00:00:00,HuffPost
Las Vegas Shooting Leads To Renewed Scrutiny Of GOP Push To Deregulate Silencers,POLITICS,2017-10-02 00:00:00,HuffPost
Las Vegas Officials Create GoFundMe Page For Shooting Victims,IMPACT,2017-10-02 00:00:00,HuffPost
Here’s How A Guy Can Stroll Into A Las Vegas Hotel With An Arsenal,POLITICS,2017-10-02 00:00:00,HuffPost
It's Completely Legal To Walk Around Las Vegas With A Machine Gun,POLITICS,2017-10-02 00:00:00,HuffPost
Here's Why Authorities Aren't Calling The Las Vegas Massacre An Act Of Terrorism,POLITICS,2017-10-02 00:00:00,HuffPost
